,text,annotation_type,category,justification
352, a woman in white wedding dress not beside any men in suits,abs,Spatial,Describes the woman’s appearance and her positioning relative to other people on stage.
353, a person in santa claus clothes without bags,abs,Attribute,"Indicates the person is wearing Santa Claus attire, specifying a key characteristic."
354, a person with a pen in one hand but not looking at paper,abs,Action,"Describes the person’s action of holding a pen, while indicating a lack of visual engagement."
355, a billiard ball with no numbers or patterns on its surface on the table,abs,Attribute,Highlights the billiard ball’s specific characteristics – its blank surface.
356, an unoccupied chessboard,abs,Spatial,Describes the chessboard's location and state of being empty.
357, a person at the conference table who is not seated,abs,Spatial,"Focuses on the person’s position – standing at the table, without being seated."
358, a person in cheerleading clothes who is not held in the air,abs,Action,"Indicates the person is wearing cheerleading attire and performing the action of cheerleading, while restricting the action."
359, a baseball player without a cap on his head,abs,Attribute,"Describes the baseball player’s attire, specifically the absence of a cap."
360, a person wearing football helmets but not running,abs,Spatial,Indicates the position of the helmets relative to the person.
361, athlete wearing nonwhite stockings on the green field,abs,Attribute,Describes the color and location of the stockings.
362, a person with a tennis racket and no feet left the ground,abs,Action,Illustrates the action of holding a racket without moving.
363, a person standing at the table of table tennis who is not waving table tennis rackets,abs,Spatial,Shows the person’s position relative to the table tennis equipment.
364, indoor volleyball not touched by hands,abs,Action,Depicts the ball’s movement in volleyball without human contact.
365, a person who is not standing upright on the ski resort,abs,Spatial,Indicates the person's posture and location on the ski resort.
366, surfboard not on the beach,abs,Spatial,Shows the surfboard’s location away from its typical environment.
367, a gymnast who is not touching anything in the air,abs,Action,Illustrates the gymnast’s movement in the air without contact.
368, an empty swing bench,abs,Spatial,Indicates the position of the swing bench.
369, an empty swimming pool,abs,Spatial,Shows the location of the empty pool.
370, a male lion who is not lying,abs,Spatial,Indicates the lion’s posture and location.
371, parrot not on human body,abs,Spatial,Describes the parrot’s location relative to the human body.
372, camel not lying on the ground,abs,Spatial,Indicates the camel’s posture and location.
373, redcrowned crane not standing on the ground,abs,Spatial,Indicates the crane's posture and location.
374, giant panda without all four feet on the ground,abs,Spatial,Indicates the panda’s posture and location.
375, an autosalon girl without bare waist,abs,Attribute,Indicates the lack of a specific body feature (bare waist) of the girl.
376, a lion dance that is not upright,abs,Action,Describes the incorrect posture or movement of the lion during the dance.
377, a rock climber without helmet,abs,Attribute,Indicates the absence of a protective item (helmet) worn by the climber.
378, nonburning torch,abs,Attribute,Describes the state of the torch – it is not producing flame.
379, a butterfly that doesnt stop on flowers,abs,Action,Indicates the butterfly is not performing the typical action of landing on flowers.
380, aircraft flying in the air without smoke trail,abs,Attribute,Describes the absence of a characteristic feature (smoke trail) of the aircraft.
381, frisbee not held by anyone,abs,Attribute,Indicates the frisbee is not being held or possessed by anyone.
382, golf ball not in the air,abs,Attribute,Indicates the golf ball is not airborne.
383, helicopter not flying in the air,abs,Attribute,Describes the helicopter’s state – it is not airborne.
384, well cover without words on the surface,abs,Attribute,Indicates the absence of words on the surface of the cover.
385, mailbox not marked with numbers,abs,Attribute,Indicates the lack of numerical markings on the mailbox.
386, a deer without antlers,abs,Attribute,Indicates the absence of a characteristic feature (antlers) of the deer.
387, kangaroo not standing,abs,Action,Describes the kangaroo’s incorrect posture – it is not standing.
388, woodpecker not on the side of the trunk,abs,Action,Indicates the woodpecker is not performing the typical action of perching on a tree trunk.
389, an eagle without wings,abs,Attribute,Indicates the absence of a characteristic feature (wings) of the eagle.
390, a dolphin whose head is not above the water,abs,Spatial,Indicates the dolphin's position relative to the water surface.
391, a seal not in the water,abs,Spatial,Indicates the seal’s location relative to the water.
392, a peacock who is not opening the screen,abs,Action,Indicates the peacock is not performing the action of opening a screen.
393, swan not in the water,abs,Spatial,Indicates the swan’s location relative to the water.
394, hippo whose mouth are not open,abs,Spatial,Indicates the hippo’s position relative to its open mouth.
395, the moon that does not appear completely round,abs,Attribute,Describes a specific quality or characteristic of the moon.
396, a person whose eyes are invisible in sunglasses,abs,Attribute,Focuses on a specific feature (eyes) obscured by a specific attribute (sunglasses).
397, otter not in the water,abs,Spatial,Indicates the otter’s location relative to the water.
398, volleyball in the middle of the air untouched on the beach,abs,Spatial,Describes the volleyball’s position and state (unmoved) in space.
399, a street food truck without an umbrella,abs,Attribute,Indicates the absence of a specific item (umbrella) and its effect.
400, a street performer without audience,abs,Attribute,Indicates the absence of a specific element (audience) and its consequence.
401, a person not wearing boxing gloves on the stage,abs,Attribute,Focuses on a specific item (boxing gloves) and its absence.
402, a sled dog that is not running,abs,Action,Indicates the dog is not performing the action of running.
403, a water polo player who is in the water but does not hold the ball,abs,Spatial,Describes the player’s location and the state of the ball relative to them.
404, a barbell held by a weightlifter that has not been lifted above the head,abs,Action,Indicates the weightlifter is holding the barbell but not performing the action of lifting it.
405, a kendo athlete without helmet,abs,State,"Indicates the absence of a helmet, defining a key characteristic of the athlete's situation."
406, a taekwondo athlete who is not kicking with their feets,abs,State,"Indicates the absence of a kicking action, highlighting a deviation from typical taekwondo performance."
407, kite surfer who didnt touch the water,abs,State,"Indicates the absence of interaction with the water, a crucial element for a kite surfer."
408, a door that is not damaged on a damaged car,abs,State,Highlights the undamaged state of the door relative to the damaged car.
409, a girl with black hair and anime clothes,abs,Attribute,Describes the girl’s physical appearance and clothing style.
410, a helmeted cyclist without companions in the race,abs,State,"Shows the cyclist wearing a helmet, alongside the lack of any racing companions."
411, a person who wears a helmet and sling equipment but is not on the sling,abs,State,Describes the presence of equipment and absence of use of the equipment.
412, a person on the yoga mat who is not meditating,abs,State,Indicates a physical presence on the mat coupled with the absence of meditation.
413, a person who doesnt touch the rope with both feet,abs,State,Shows the absence of a specific action with the rope.
414, nonconvertible racing car,abs,Attribute,Describes the car’s specific feature: inability to convert.
415, stop sign with white letters on a blue background,abs,Attribute,Details the appearance of the stop sign - its color and lettering.
416, a diabolo not being played with rope,abs,State,"Highlights the absence of the rope, which is essential for playing the diabolo."
417, a dart that doesnt stick to the target,abs,State,Indicates the failure of the dart to reach its intended target.
418, person who kneels on one knee and proposes but has nothing in his hand,abs,State,Describes a specific pose and action without any accompanying items.
419, hot air balloon without ignition,abs,State,"Highlights the absence of the ignition, a necessary component for the balloon’s operation."
420, a boat that needs manual rowing but no one,abs,Object,Describes a physical object – a boat – and its state.
421, origami unlike birds,abs,Object,"Refers to a specific art form (origami) and compares it to another object (birds), indicating a visual representation."
